46.62,9.66,114.6,0.0,169.0
46.62,10.52,120.93,0.0,170.0
47.43,10.1,121.36,0.0,171.0
158.69,10.09,121.36,0.0,172.0
158.69,10.52,115.9,0.0,173.0
48.72,10.09,116.81,0.0,174.0
48.72,10.5,115.9,0.0,175.0
46.62,10.09,122.66,0.0,176.0
46.62,10.07,122.66,0.0,177.0
47.45,9.67,115.86,0.0,178.0
47.45,10.52,115.86,0.0,179.0
46.19,10.09,115.43,0.0,180.0
46.19,10.5,114.64,0.0,181.0
47.88,12.16,117.22,0.0,182.0
47.88,12.57,117.22,0.0,183.0
47.41,12.93,115.53,0.0,184.0
47.41,12.52,115.17,0.0,185.0
47.83,13.4,118.1,0.0,186.0
47.83,12.93,117.72,0.0,187.0
38.34,13.38,119.33,0.0,188.0
38.34,12.52,116.41,0.0,189.0
47.03,12.97,115.14,0.0,190.0
47.03,12.97,117.24,0.0,191.0
39.64,12.97,117.24,0.0,192.0
39.64,13.38,115.12,0.0,193.0
38.38,13.38,117.28,0.0,194.0
38.38,12.93,116.02,0.0,195.0
37.91,13.4,118.14,0.0,196.0
153.26,13.38,118.14,0.0,197.0
153.26,12.93,116.83,0.0,198.0
38.33,12.91,116.83,0.0,199.0
38.33,12.93,114.69,0.0,200.0
38.33,12.93,120.22,0.0,201.0
38.33,12.93,117.28,0.0,202.0
38.33,12.93,121.07,0.0,203.0
38.33,12.93,118.53,0.0,204.0
47.86,12.93,116.45,0.0,205.0
47.86,13.34,116.45,0.0,206.0
46.98,12.93,116.81,0.0,207.0
46.98,13.34,116.41,0.0,208.0
47.4,13.34,116.41,0.0,209.0
47.4,13.34,115.14,0.0,210.0
38.76,13.33,118.55,0.0,211.0
38.76,13.34,116.83,0.0,212.0
47.45,13.33,116.83,0.0,213.0
47.45,13.34,115.53,0.0,214.0
47.41,13.33,116.88,0.0,215.0
47.41,13.34,116.88,0.0,216.0
48.28,13.33,115.53,0.0,217.0
48.28,13.33,115.53,0.0,218.0
48.26,13.33,14.95,0.0,219.0
48.26,13.34,14.95,0.0,220.0
48.26,13.33,115.16,0.0,221.0
48.26,13.76,114.34,0.0,222.0
38.33,13.74,115.12,0.0,223.0
38.33,13.76,115.12,0.0,224.0
39.19,13.74,115.16,0.0,225.0
39.19,13.74,115.16,0.0,226.0
46.62,13.33,115.59,0.0,227.0
46.62,13.33,115.59,0.0,228.0
47.86,13.74,115.62,0.0,229.0
47.86,14.17,115.62,0.0,230.0
47.48,13.76,116.86,0.0,231.0
47.48,13.76,119.83,0.0,232.0
46.19,13.76,122.72,0.0,233.0
46.19,13.29,5.24,0.0,234.0
46.57,13.29,6.41,0.0,235.0
46.57,13.31,121.14,0.0,236.0
48.26,13.74,118.62,0.0,237.0
48.26,14.17,118.62,0.0,238.0
46.62,13.74,116.02,0.0,239.0
46.62,13.71,118.62,0.0,240.0
39.6,14.16,116.09,0.0,241.0
39.6,14.16,119.43,0.0,242.0
37.88,13.74,119.86,0.0,243.0
37.88,14.17,116.07,0.0,244.0
47.47,13.74,138.62,0.0,245.0
47.47,13.76,138.62,0.0,246.0
46.62,14.16,116.86,0.0,247.0
160.34,13.29,116.07,0.0,248.0
160.34,14.59,124.55,0.0,249.0
48.31,13.29,6.81,0.0,250.0
48.31,12.88,6.57,0.0,251.0
49.12,13.28,116.07,0.0,252.0
49.12,14.62,116.07,0.0,253.0
46.41,14.62,116.07,0.0,254.0
46.41,14.64,118.55,0.0,255.0
47.24,14.62,118.55,0.0,256.0
47.24,14.62,120.22,0.0,257.0
46.78,15.07,120.22,0.0,258.0
46.38,14.48,14.02,0.0,517.0
